7,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7
3,1,1,1,3,1,1,1,1,1,3,1,3,1,3,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,3
3,1,1,1,3,1,3,3,3,1,3,1,3,1,3,1,1,3,3,3,3,3,1,3,3,3,1,3,1,1,1,3
3,3,3,3,3,1,3,1,3,1,3,1,3,3,3,1,1,3,1,1,1,3,1,3,1,3,1,3,3,3,3,3
1,1,3,1,1,1,3,3,3,1,3,1,1,1,3,3,3,3,1,1,1,3,1,3,3,3,1,1,1,3,1,1
1,1,3,3,3,3,3,1,1,1,3,3,3,1,3,1,3,1,1,1,1,3,1,1,1,3,3,3,3,3,1,1
1,1,1,1,3,1,3,3,3,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,1,3,1,1,1,1
3,3,3,3,3,1,1,1,3,3,3,3,3,1,3,1,1,1,1,3,1,1,1,3,1,3,1,3,3,3,3,1
3,1,1,1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,1,3,1,3,1,3,1,1,3,1
3,3,3,3,3,1,1,3,1,1,3,1,3,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,1,3,1
3,1,1,1,3,1,1,3,1,3,3,3,3,3,3,1,1,3,3,3,1,3,3,1,3,1,1,1,3,3,3,1
3,1,1,1,3,1,3,3,3,3,1,1,1,1,2,1,1,2,1,1,1,1,3,1,3,3,3,1,3,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,6,2,2,2,2,2,3,3,1,1,1,3,1,3,3,3,1
3,1,1,1,3,1,3,3,3,3,1,1,2,1,1,5,5,1,1,2,1,3,1,1,3,3,3,1,3,1,3,1
3,3,3,3,3,1,1,1,1,3,1,1,2,1,2,2,2,2,1,2,1,3,1,1,3,1,1,1,3,1,3,1
1,1,1,1,3,1,3,3,3,3,3,2,2,1,2,10,2,2,1,2,1,3,3,3,3,3,3,3,3,3,3,1
1,1,1,1,3,3,3,1,3,1,3,1,2,1,2,14,13,2,1,2,1,1,1,3,1,1,1,1,3,1,1,1
1,1,1,1,1,1,3,3,3,1,3,1,2,1,2,11,12,2,1,2,2,3,3,3,3,3,1,1,3,1,1,1
1,1,1,1,1,1,3,1,3,1,3,2,2,1,1,1,1,1,1,2,1,3,1,3,1,3,3,3,3,1,1,1
3,3,3,3,3,1,3,1,3,1,1,1,2,2,2,2,2,2,2,2,1,3,1,3,1,1,1,1,3,1,1,1
3,1,1,1,3,1,3,1,3,3,3,3,3,1,1,1,1,3,1,2,3,3,1,3,1,3,3,3,3,3,3,3
3,3,3,3,3,3,3,1,1,3,1,1,3,1,1,1,1,3,1,1,1,3,1,3,3,3,1,1,1,1,1,3
1,1,1,1,3,1,3,1,1,3,1,1,3,3,3,3,3,3,3,3,1,3,1,1,1,3,1,3,3,3,3,3
1,1,1,1,3,1,3,3,3,3,3,3,3,1,3,1,1,1,1,3,1,3,1,3,3,3,1,3,1,3,1,3
1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,1,1,1,3,1,3,3,3,1,3,3,3,1,3,1,3
1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,1,3,1,3
1,3,1,1,3,1,1,1,3,1,3,1,1,1,3,1,1,3,1,3,1,3,3,3,1,3,3,3,3,3,3,3
1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,1,3,1,3,3,3,1,1,1,3,1,1
1,1,3,1,3,1,3,1,1,1,1,1,3,1,3,1,3,1,1,3,3,3,1,3,1,3,3,3,3,3,3,3
3,3,3,3,3,1,3,3,3,1,3,3,3,1,3,3,3,3,1,3,1,1,1,3,1,1,1,3,1,3,1,3
3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,3,1,1,1,3,1,3,3,3,1,3,1,3
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,1,3,3,7
